ID,Since,Last tweeted at,Tweets,Favorites,Listed,Following,Followers,Screen name,Name,Verified,Protected,Bio,Status,Location,URL
2891210047,2014-11-05 21:25:42 +0000,2016-04-30 21:56:31 +0000,948,8,221,386,3392,SenDanSullivan,SenDanSullivan,true,false,Official twitter account for U.S. Senator Dan Sullivan.  Proudly serving the state of Alaska.,Congrats to Eielson Jr/Sr High students on winning national Follett Challenge with “Aiming High at Eielson!” https://t.co/D5bAcTCFEm,,http://www.sullivan.senate.gov
2863210809,2014-11-05 20:58:02 +0000,2016-05-01 15:45:18 +0000,1499,179,311,894,6735,sendavidperdue,David Perdue,true,false,Official Twitter account for U.S. Senator David Perdue of Georgia.,RT @USNavy: #ICYMI: Forgotten #MedalOfHonor recipient Joseph Benjamin Noil honored - https://t.co/kksKBazyJE https://t.co/zyrSLDOBeq,Georgia,http://perdue.senate.gov
266133081,2011-03-14 18:31:08 +0000,2016-04-29 20:56:03 +0000,4598,0,1036,11885,23311,SenDeanHeller,Dean Heller,true,false,U.S. Senator Dean Heller,#FF @UNLVGolf @7853_ROBOTICS @NVBoysState @NevadaGuard @OppVillageLV @HemoAlliance @ElkoDaily @ElyTimes @TheChambernv,Nevada,http://heller.senate.gov
216503958,2010-11-16 22:24:01 +0000,2016-04-30 23:10:48 +0000,3222,3,995,213,21099,SenDonnelly,Senator Joe Donnelly,true,false,U.S. Senator Joe Donnelly's communications staff,#ICYMI Joe and Justin Phillips spoke about addressing the opioid abuse and heroin epidemics in Indiana. https://t.co/6AVuCre7Qp,,http://www.donnelly.senate.gov/
125746882,2010-03-23 18:58:22 +0000,,107,1,169,39,842,SenEnsign,John Ensign,false,true,Senator John Ensign's Official Twitter Page,,"Washington, D.C.",http://ensign.senate.gov/
476256944,2012-01-27 23:06:59 +0000,2016-04-29 21:50:43 +0000,3176,0,2356,139,69155,SenFeinstein,Sen Dianne Feinstein,true,false,United States Senator from California. On Facebook at: http://t.co/siExqwIu,#TakeBackDay is about turning in unwanted prescription drugs &amp; keeping them off the streets. Find a location: https://t.co/9BHDVoz86w @DEAHQ,California,http://www.feinstein.senate.gov
236511574,2011-01-10 19:17:36 +0000,2016-05-01 16:03:04 +0000,3038,56,729,1138,13384,SenGaryPeters,Senator Gary Peters,true,false,U.S. Senator proudly representing the state of Michigan.,Honored to deliver commencement address at Mott Community College this weekend. Congrats to all the graduates! https://t.co/xjtN8hwRTD,,http://peters.senate.gov
72198806,2009-09-07 03:53:24 +0000,2016-04-29 21:30:23 +0000,12386,191,5027,465,170168,SenGillibrand,Kirsten Gillibrand,true,false,U.S. Senator from New York,Leading bipartisan group in asking for a meeting w/#SecCarter to discuss concerns about @DeptofDefense's misleading testimony on #MJIA.,NY,http://www.kirstengillibrand.com
486694111,2012-02-08 15:24:01 +0000,2016-05-01 22:08:40 +0000,3500,8,877,14,17693,SenJackReed,Senator Jack Reed,true,false,Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed.,"Congrats to Anita, Caitlin, Sandra, &amp; all the talented student artists in this year's RI High School Arts Competition!","Providence, Rhode Island",http://www.reed.senate.gov
29201047,2009-04-06 13:38:39 +0000,2016-05-01 19:38:41 +0000,3006,2,2371,172,42008,SenJeffMerkley,Senator Jeff Merkley,true,false,U.S. Senator from the State of Oregon,Good luck to the @trailblazers in Game 1 against the Warriors!! We can do this!! #RipCity #GoBlazers,Oregon,http://merkley.senate.gov
202206694,2010-10-13 14:49:08 +0000,2016-04-27 14:18:08 +0000,3070,1,1324,501,26162,SenJohnBarrasso,Sen. John Barrasso,true,false,U.S. Senator for the great state of Wyoming and @SenateRPC Chairman.,It was great to visit with Wheatland H.S. students this morning at @SenatorEnzi’s &amp; my “Wyoming Wednesday” breakfast https://t.co/QYnuyzuwjI,,http://barrasso.senate.gov
382791093,2011-09-30 17:55:30 +0000,2016-04-28 21:34:42 +0000,1501,50,826,509,16989,SenJohnHoeven,Senator John Hoeven,true,false,U.S. Senator from North Dakota,"Had a good talk w/ Canada's amb to the US, @AmbMacNaughton, on our work to ensure North American #energy security https://t.co/2Lw4E8TQU0",North Dakota,http://hoeven.senate.gov
19394188,2009-01-23 13:42:31 +0000,2016-04-30 14:33:26 +0000,11060,18,17318,364,2002341,SenJohnMcCain,John McCain,true,false,"U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",RT @SenateMajLdr: .@SenJohnMcCain delivers the GOP Weekly Address on the ongoing national security failures of the #Obama @Whitehouse. https://t.co/ycTeSVWDRk,"Phoenix, AZ / Washington, DC",
244243985,2011-01-28 21:37:51 +0000,2014-12-15 17:49:20 +0000,1365,0,700,49,11852,SenJohnsonSD,Senator Tim Johnson,true,false,U.S. Senator from South Dakota.,Today is the last day of #ACA open enrollment. Find a plan to receive health care coverage by Jan 1: http://t.co/ipYPK4Xj5q #GetCoveredToday,,http://johnson.senate.gov/
296361085,2011-05-10 16:41:48 +0000,2016-04-29 22:14:58 +0000,2977,24,1466,340,44329,SenJohnThune,Senator John Thune,true,false,"U.S. Senator John Thune, South Dakota. Chairman of @SenateGOP & @SenateCommerce. Father. Husband. Avid Outdoorsman. Sports Fan.",Introduced an important bill this week that offers immediate help for combating the #Zika virus. More info here: https://t.co/gEJ54inz7S,,http://thune.senate.gov
2856787757,2014-11-02 13:32:54 +0000,2016-04-29 20:13:58 +0000,853,3,377,48,10813,SenJoniErnst,Joni Ernst,true,false,Follow for news and updates from the Office of Iowa Senator Joni K. Ernst. Tweets from Joni are signed JKE.,Had fun taking questions from the students at Clinton High School on my #99CountyTour https://t.co/zs9R5W65cH,Iowa ,http://Ernst.Senate.Gov
24905240,2009-03-17 16:15:00 +0000,2011-07-25 18:02:58 +0000,146,0,969,0,12329,SenJonKyl,U.S. Senator Jon Kyl,false,false,United States Senator for Arizona and Assistant Senate Republican Leader,"""The only thing we haven't said 'yes' to is job-killing tax increases."" -Senator Kyl on CBS' Face the Nation http://fb.me/11H3dGuh7","Arizona, Washington, DC",http://kyl.senate.gov/
1267940407,2013-03-14 20:33:03 +0000,2015-03-11 18:36:36 +0000,436,20,245,212,3581,SenKaineOffice,Office of Sen. Kaine,true,false,Official twitter account for the office of U.S. Senator Tim Kaine of Virginia,"ICYMI: In #AUMF hearing, Kaine renews call for swift, bipartisan Congressional action http://t.co/u82J3KPXS2",,http://www.kaine.senate.gov/
413466731,2011-11-15 22:40:40 +0000,2014-12-14 02:52:04 +0000,2052,7,797,241,16588,SenLandrieu,Mary Landrieu,true,false,,RT @SenatorHeitkamp: .@CapitolPolice selflessly protect us all from potential danger every day.Dropped by their holiday event 2 thank them http://t.co/kjmt8WHd2y,Louisiana,http://www.vnf.com/mlandrieu
21406834,2009-02-20 15:49:29 +0000,2016-04-29 20:15:49 +0000,6382,85,1806,585,29609,SenMarkey,Ed Markey,true,false,"Official account for Senator Edward J. Markey. National leader on energy, environment, climate, telecom. Voice for consumer protection. https://t.co/nfYWzVp6R8",Sat. April 30 is National Prescription Drug Take-Back Day. Find out where you can dispose of your unwanted Rx drugs. https://t.co/rXkvk9Cst7,"Malden, MA",http://www.markey.senate.gov/
2982190553,2015-01-17 06:01:58 +0000,2016-05-02 11:12:10 +0000,1191,1,0,0,3,SenMarkPryor,Фаина,false,false,"позитиф
 бананы
 #семья
 #яблоки
 рассвет
 #розы","RT @kmir6_news: Когда-то я верил в Бога, а потом перестал. Потому что если они правы и Бог есть - мне конец.",,
88784440,2009-11-09 22:47:47 +0000,2016-04-28 21:21:50 +0000,3752,50,3422,2398,223885,SenMikeLee,Mike Lee,true,false,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,RT @UtahPoliticoHub: Sentencing Reform &amp; Corrections Act Expands Bipartisan Support [UPH Wire] - https://t.co/CEtCRDRbyu,Utah,http://www.lee.senate.gov
262756641,2011-03-08 18:04:18 +0000,2016-05-02 03:48:10 +0000,4187,6,1025,200,16619,SenOrrinHatch,Senator Hatch Office,true,false,U.S. Senator from Utah. Tweets are by Sen. Hatch's staff; those signed ogh are from Sen. Hatch himself.,The people of Utah will always make better stewards than any far-off bureaucrat. #utpol #AntiquitiesAct https://t.co/hihYbdG6j6,,http://www.hatch.senate.gov
75364211,2009-09-18 19:34:56 +0000,2016-04-29 18:03:18 +0000,3220,82,1242,787,20812,SenPatRoberts,Pat Roberts,true,false,United States Senator from Kansas,"Conrad Burns was 1 of a kind,kindred spirit,&amp; truest of friends.Prayers to Phyllis &amp; family. https://t.co/7XmeY8xz0G https://t.co/bWxpDXAfgr","Kansas and Washington, DC",http://roberts.senate.gov
18915145,2009-01-12 20:56:42 +0000,2016-05-01 18:22:26 +0000,5950,84,2036,1998,51235,senrobportman,Rob Portman,true,false,United States Senator from the Buckeye State.,"Proud of son, Will, somehow still smiling after 26 miles in the Flying Pig. https://t.co/QwwVCwqVtw",Ohio,http://portman.senate.gov
707596397076475904,2016-03-09 15:58:22 +0000,,0,0,0,0,3,senrockefeller,Jay Rockefeller,false,false,,,,
233737858,2011-01-04 00:25:27 +0000,2016-04-29 23:29:40 +0000,2473,40,1613,144,33175,SenRonJohnson,Senator Ron Johnson,true,false,Tweets from Ron are signed -rj,Inspiring afternoon @maccfund center. Celebrating 40 years &amp; $56 million in fight against #childhoodcancer https://t.co/ycRStdX9ei,"Oshkosh, WI",http://www.ronjohnson.senate.gov
229966028,2010-12-23 21:22:47 +0000,2016-04-29 22:44:14 +0000,2676,3,961,119,21983,SenRubioPress,Senator Rubio Press,true,false,Official account of U.S. Senator @MarcoRubio's PressShop. For more information please visit his website.,.@MarcoRubio Comments On First U.S. #Zika Death In Puerto Rico https://t.co/IwxkmOo7Eu,"Washington, D.C.",http://rubio.senate.gov
